customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,closeddate,firstduedate,firstrepaiddate
8a858f9158aff6a30158b5f2ff887585,301862302,6,2017-04-10 12:11:12,2017-04-10 11:11:05,20000.0,23800.0,30,2017-05-09 20:39:48,2017-05-10,2017-05-09
8a858f995a4762a5015a4c25b0ea01c3,301867766,3,2017-04-13 22:00:09,2017-04-13 21:00:02,10000.0,13000.0,30,2017-04-26 11:04:20,2017-05-15,2017-04-26
8a858fae5b49223f015b499e1cf9485b,301865971,1,2017-04-12 15:02:29,2017-04-12 14:02:20,10000.0,11500.0,15,2017-04-20 16:02:34,2017-04-28,2017-04-20
8a858fb15b34a708015b350c4a1a58d2,301936637,2,2017-06-12 22:43:59,2017-06-12 21:43:52,10000.0,13000.0,30,2017-06-23 23:27:32,2017-07-12,2017-06-23
8a858e1d5cd58f9e015ceda4bdb63673,301954751,1,2017-06-28 13:39:27,2017-06-28 12:38:17,10000.0,11500.0,15,2017-07-10 14:08:26,2017-07-13,2017-07-10
8a858e395cb1d4d9015cb236b4811cbc,301957201,1,2017-06-30 08:02:29,2017-06-30 07:01:20,10000.0,13000.0,30,2017-07-28 07:07:44,2017-07-31,2017-07-28
8a858e5b5bd99460015bdf725e143ff4,301927361,2,2017-06-05 09:00:33,2017-06-05 08:00:26,10000.0,13000.0,30,2017-07-05 05:43:23,2017-07-05,2017-07-05
8a858e885c17687c015c19eead6338fd,301914007,1,2017-05-20 08:18:00,2017-05-20 07:16:52,10000.0,13000.0,30,2017-06-05 14:23:16,2017-06-19,2017-06-05
8a858ea555d9e6020155f489c9b237f8,301877130,1,2017-04-22 18:29:01,2017-04-22 17:28:49,10000.0,13000.0,30,2017-05-22 03:00:08,2017-05-22,2017-05-22
8a858eb85c1be44c015c1c4b667d25ee,301932629,2,2017-06-09 12:31:27,2017-06-09 11:31:20,10000.0,13000.0,30,2017-06-27 17:45:57,2017-07-10,2017-06-27
8a858ed35cc5ce51015cc60f40f522b4,301945239,1,2017-06-20 16:58:01,2017-06-20 15:56:53,10000.0,11500.0,15,2017-06-30 13:26:20,2017-07-06,2017-06-30
8a858f2e5c699f3a015c6cf27a036477,301927665,1,2017-06-05 13:28:46,2017-06-05 12:28:30,10000.0,13000.0,30,2017-06-29 18:46:56,2017-07-05,2017-06-29
8a858f4f5511dca201551b73634170b6,301951170,3,2017-06-25 09:39:37,2017-06-25 08:39:20,10000.0,13000.0,30,2017-07-26 15:57:28,2017-07-25,2017-07-26
8a858f5e599783c0015997c56ef70ffa,301808589,2,2017-02-02 14:41:20,2017-02-02 13:41:14,10000.0,11500.0,15,2017-02-16 16:29:18,2017-02-17,2017-02-16
8a858f785cea234f015cea434e0a09e6,301953730,1,2017-06-27 17:14:51,2017-06-27 16:13:43,10000.0,11500.0,15,2017-07-12 13:10:23,2017-07-12,2017-07-12
8a858f975c4582c4015c550ee4925686,301921298,1,2017-05-29 17:54:55,2017-05-29 16:54:42,10000.0,13000.0,30,2017-06-26 08:46:03,2017-06-28,2017-06-26
8a858fa45bd95e9a015be131cdec35a8,301912857,1,2017-05-18 17:39:39,2017-05-18 16:38:31,10000.0,11500.0,15,2017-06-01 08:14:47,2017-06-02,2017-06-01
8a858fc55b2fde30015b30c9256b43fd,301852878,1,2017-04-03 08:22:14,2017-04-03 07:22:03,10000.0,13000.0,30,2017-05-01 09:25:31,2017-05-03,2017-05-01
8a858fd45a4260bc015a42ac9e89278d,301915839,3,2017-05-22 21:37:22,2017-05-22 20:36:15,10000.0,13000.0,30,2017-06-01 22:43:50,2017-06-21,2017-06-01
8a858fe45cd62cbf015cdfb7b59f05f4,301951715,1,2017-06-25 20:58:21,2017-06-25 19:57:13,10000.0,13000.0,30,2017-07-06 10:22:55,2017-07-26,2017-07-06
8a858ff8582fcb8601583e9ee74e1732,301801757,2,2017-01-25 16:01:44,2017-01-25 15:01:37,10000.0,13000.0,30,2017-02-24 01:02:41,2017-02-24,2017-02-24
8a858e105bd92644015be762bf10576f,301895331,1,2017-05-08 11:54:28,2017-05-08 10:53:58,10000.0,11500.0,15,2017-05-23 12:49:05,2017-05-23,2017-05-23
8a858ed1594a282f01594a4d14f50a58,301953671,1,2017-06-27 16:29:32,2017-06-27 15:28:23,10000.0,13000.0,30,2017-07-24 10:38:23,2017-07-28,2017-07-24
8a858f5f5b39bb0c015b3b298dd1358b,301944135,3,2017-06-19 20:58:28,2017-06-19 19:58:22,10000.0,11500.0,15,2017-07-12 08:44:42,2017-07-04,2017-07-12
8a858f9c57f74b1d0157f753c181047e,301922686,9,2017-05-31 10:03:53,2017-05-31 09:03:40,30000.0,34500.0,30,2017-06-30 17:42:59,2017-06-30,2017-06-30
8a858fe25ab3f041015ab51fc3c44cbd,301875898,2,2017-04-21 15:00:14,2017-04-21 14:00:08,10000.0,13000.0,30,2017-05-16 13:19:39,2017-05-22,2017-05-16
8a8189d152443f820152443f89500001,301673341,6,2016-08-08 12:47:15,2016-08-08 11:46:35,20000.0,24500.0,30,2016-10-28 10:02:05,2016-09-07,2016-10-28
8a8588b754517d800154555019c36231,301828401,3,2017-02-28 18:39:55,2017-02-28 17:39:48,10000.0,13000.0,30,2017-04-05 09:33:18,2017-03-30,2017-04-05
8a8589045384bd8301539e05b3d35023,301890968,8,2017-05-05 11:36:14,2017-05-05 10:36:07,30000.0,33000.0,30,2017-05-31 08:29:42,2017-06-05,2017-05-31
8a858953548fb0c001549b31ac5f6dda,301752870,7,2016-11-01 12:09:27,2016-11-01 11:09:17,30000.0,34500.0,30,2016-12-01 01:15:32,2016-12-01,2016-12-01
8a858e0156b782a10156b8e131824d39,301905169,4,2017-05-13 15:48:18,2017-05-13 14:48:11,20000.0,22250.0,15,2017-05-30 05:45:42,2017-05-30,2017-05-30
8a858e0f5c45466f015c546652e81026,301921129,1,2017-05-29 14:45:48,2017-05-29 13:45:34,10000.0,11500.0,15,2017-06-13 20:27:36,2017-06-13,2017-06-13
8a858e195b90e512015b9312936863cf,301880350,1,2017-04-25 18:16:05,2017-04-25 17:15:56,10000.0,11500.0,15,2017-05-10 01:23:13,2017-05-10,2017-05-10
8a858e3a54e337020154fda980777859,301625971,1,2016-05-29 20:13:17,2016-05-29 19:13:07,10000.0,11500.0,15,2016-06-06 00:02:59,2016-06-13,2016-06-05
8a858e64590ae20001590c511d9b0cdf,301941731,2,2017-06-17 08:55:53,2017-06-17 07:54:46,10000.0,11500.0,15,2017-06-24 06:47:28,2017-07-03,2017-06-24
8a858e705668e1670156810ee20960b7,301954840,6,2017-06-28 14:32:36,2017-06-28 13:31:27,30000.0,34500.0,30,2017-07-25 14:49:29,2017-07-28,2017-07-25
8a858e8d56b784480156b7d232f723a8,301794672,6,2017-01-16 21:58:54,2017-01-16 20:58:47,25000.0,29000.0,30,2017-02-11 11:57:39,2017-02-15,2017-02-11
8a858e9b5bcf8546015bcfaf5b680756,301915339,2,2017-05-22 11:58:21,2017-05-22 10:58:14,10000.0,13000.0,30,2017-07-20 20:55:05,2017-06-21,2017-07-20
8a858eb85886bdc30158acf926932eda,301942527,2,2017-06-18 08:12:01,2017-06-18 07:11:55,10000.0,13000.0,30,2017-07-17 12:10:06,2017-07-18,2017-07-17
8a858ec95afc0922015affaaf5992c1a,301946625,4,2017-06-21 15:40:51,2017-06-21 14:40:45,10000.0,12250.0,30,2017-07-17 10:17:24,2017-07-21,2017-07-17
8a858ed45becf685015bed6fceb6498b,301902494,2,2017-05-12 07:17:47,2017-05-12 06:17:41,10000.0,11500.0,15,2017-05-30 21:23:22,2017-05-30,2017-05-30
8a858eda552adcc2015559532234110a,301752426,4,2016-10-31 17:13:17,2016-10-31 16:13:02,20000.0,24500.0,30,2016-11-28 11:06:40,2016-11-30,2016-11-28
8a858edb5bd936e4015be394167c4698,301894162,1,2017-05-07 17:39:20,2017-05-07 16:39:09,10000.0,13000.0,30,2017-06-01 11:25:45,2017-06-07,2017-06-01
8a858ee45b62dadc015b660294b5292e,301915715,2,2017-05-22 18:52:33,2017-05-22 17:52:25,10000.0,13000.0,30,2017-06-21 13:31:45,2017-06-21,2017-06-21
8a858eed5756fb0e0157576dda0129e5,301839319,3,2017-03-16 09:44:31,2017-03-16 08:44:24,10000.0,13000.0,30,2017-05-10 10:57:45,2017-04-17,2017-05-03
8a858f03582a54c301582f698a281700,301827829,5,2017-02-28 07:06:13,2017-02-28 06:05:51,20000.0,23800.0,30,2017-03-27 18:21:14,2017-03-30,2017-03-27
8a858f0a56ffda560157093acf144b87,301709275,1,2016-09-08 10:57:37,2016-09-08 09:57:25,10000.0,13000.0,30,2016-10-10 08:13:55,2016-10-10,2016-10-10
8a858f185d1daff6015d279fcb900eef,301973801,1,2017-07-11 21:59:28,2017-07-11 20:58:18,10000.0,11500.0,15,2017-07-26 13:59:34,2017-07-26,2017-07-26
8a858f245a4cde1e015a4e6271fd6c46,301936534,4,2017-06-12 20:49:53,2017-06-12 19:49:46,20000.0,22250.0,15,2017-06-23 18:12:55,2017-06-27,2017-06-23
8a858f265c2187bd015c346b5bb74ea9,301916118,1,2017-05-23 09:44:58,2017-05-23 08:43:49,10000.0,13000.0,30,2017-05-30 15:42:50,2017-06-22,2017-05-30
8a858f2f54e28d530154f3a9d35625d8,301917250,2,2017-05-24 13:52:40,2017-05-24 12:52:33,10000.0,11500.0,15,2017-06-02 15:21:02,2017-06-09,2017-06-02
8a858f375b493337015b4943d3aa1027,301874699,2,2017-04-20 15:33:17,2017-04-20 14:33:10,10000.0,13000.0,30,2017-05-21 09:16:41,2017-05-22,2017-05-21
8a858f4e5ba5e8d3015ba9d8b01b3062,301922752,2,2017-05-31 11:11:51,2017-05-31 10:11:45,10000.0,13000.0,30,2017-06-27 15:17:24,2017-06-30,2017-06-27
8a858f565b683b56015b7b6b606e1ec9,301908218,3,2017-05-15 17:44:16,2017-05-15 16:44:11,20000.0,24500.0,30,2017-06-13 08:47:06,2017-06-14,2017-06-13
8a858f5f55f82ae30155f91ba4250aea,301926857,7,2017-06-04 14:33:25,2017-06-04 13:33:12,30000.0,34500.0,30,2017-06-28 14:34:17,2017-07-04,2017-06-28
8a858f6a5b1fa846015b1ff2a147401d,301919217,5,2017-05-26 22:05:22,2017-05-26 21:05:15,15000.0,16687.5,15,2017-06-12 16:30:19,2017-06-12,2017-06-12
8a858f765c350480015c35105f3f04c1,301916295,1,2017-05-23 12:49:07,2017-05-23 11:47:54,10000.0,13000.0,30,2017-07-04 21:04:00,2017-06-23,2017-07-04
8a858f8e5b8c34d3015b8f4fe5ca199d,301919375,3,2017-05-27 08:10:42,2017-05-27 07:10:35,10000.0,11500.0,15,2017-06-02 16:25:21,2017-06-12,2017-06-02
8a858fcb5ca240f7015ca64a71fa1951,301938814,1,2017-06-14 17:44:47,2017-06-14 16:43:39,10000.0,13000.0,30,2017-06-22 17:45:41,2017-07-17,2017-06-22
8a858e675c3fe0a1015c417e73085191,301941230,2,2017-06-16 16:37:25,2017-06-16 15:37:17,10000.0,11500.0,15,2017-07-03 18:31:11,2017-07-03,2017-07-03
8a858e2e5bb57a37015bc8ff494a1089,301887157,1,2017-05-02 13:59:32,2017-05-02 12:59:14,10000.0,11500.0,15,2017-05-16 14:14:30,2017-05-17,2017-05-16
8a858e4b5cb1e4d7015cbbde80436cf1,301957467,1,2017-06-30 11:16:30,2017-06-30 10:16:22,10000.0,13000.0,30,2017-07-28 08:56:48,2017-07-31,2017-07-28
8a858e785c8d9167015c9b35e2411165,301935566,1,2017-06-12 08:54:53,2017-06-12 07:53:46,10000.0,13000.0,30,2017-07-04 11:53:29,2017-07-12,2017-07-04
8a858ea45c109201015c10d210791b14,301939888,2,2017-06-15 15:29:31,2017-06-15 14:29:24,10000.0,11500.0,15,2017-06-26 18:09:41,2017-06-30,2017-06-26
8a858eba5c884d2a015c8c4c58c5088a,301933706,1,2017-06-10 11:32:02,2017-06-10 10:30:54,10000.0,13000.0,30,2017-07-04 00:25:53,2017-07-10,2017-07-04
8a858ef95cf5154a015cf659212d26ce,301979029,1,2017-07-15 11:45:59,2017-07-15 10:44:50,10000.0,11500.0,15,2017-07-26 14:15:52,2017-07-31,2017-07-26
8a858f405d13c45f015d1407060e316e,301973563,1,2017-07-11 18:43:06,2017-07-11 17:41:58,10000.0,11500.0,15,2017-07-26 19:14:18,2017-07-26,2017-07-26
8a858f99560bbe4501561d163d570cba,301755931,5,2016-11-08 07:07:30,2016-11-08 06:07:15,30000.0,34500.0,30,2016-11-30 23:28:26,2016-12-08,2016-11-30
8a858f9f5679951a01568d9941453c97,301717030,2,2016-09-16 03:40:18,2016-09-16 02:40:10,10000.0,11500.0,30,2016-10-05 16:55:27,2016-10-19,2016-10-05
8a858fa25bd92c20015bda1a38cf5a24,301891806,1,2017-05-05 20:56:40,2017-05-05 19:56:23,10000.0,13000.0,30,2017-06-06 10:24:59,2017-06-06,2017-06-06
8a858fa55acd8061015ad0b778b013ea,301916630,4,2017-05-23 19:08:51,2017-05-23 18:07:44,20000.0,24500.0,30,2017-06-20 02:00:50,2017-06-22,2017-06-20
8a858fae5921beeb01592ad3c5c12bc1,301916725,4,2017-05-23 21:40:57,2017-05-23 20:40:50,20000.0,24500.0,30,2017-06-19 18:57:05,2017-06-22,2017-06-19
8a858fb557330de1015750e05ade4eb8,301931681,3,2017-06-08 17:05:27,2017-06-08 16:05:20,10000.0,13000.0,30,2017-07-10 05:52:06,2017-07-10,2017-07-10
8a858fbc594a495c01596db4320c084a,301863224,3,2017-04-10 17:51:54,2017-04-10 16:51:47,10000.0,13000.0,30,2017-05-11 16:40:02,2017-05-10,2017-05-11
8a858fc9580b91da0158126363fb3f16,301824631,5,2017-02-23 08:30:29,2017-02-23 07:30:18,20000.0,21900.0,15,2017-02-28 18:20:42,2017-03-10,2017-02-28
8a858fd05bfd7d3c015c0cc8a1a86a92,301915577,1,2017-05-22 15:48:09,2017-05-22 14:47:01,10000.0,13000.0,30,2017-06-21 13:07:17,2017-06-22,2017-06-21
8a858fd55b8752ba015b895180e74ffe,301932068,3,2017-06-08 23:29:26,2017-06-08 22:29:20,10000.0,11500.0,15,2017-06-12 19:20:16,2017-06-23,2017-06-12
8a858fe8555f401f01556e0a6ac317b7,301713595,4,2016-09-13 12:32:46,2016-09-13 11:32:38,20000.0,24500.0,30,2016-10-12 08:00:19,2016-10-13,2016-10-12
8a858ffa55ca72a50155de6808cd2f3f,301649932,1,2016-07-12 10:21:59,2016-07-12 09:21:46,10000.0,11500.0,15,2016-07-26 11:27:22,2016-07-27,2016-07-26
8a858ffd5c8d343d015c978f755b7fbe,301950618,1,2017-06-24 16:10:15,2017-06-24 15:09:08,10000.0,11500.0,15,2017-07-03 22:03:24,2017-07-10,2017-07-03
8a858eb95a8f9e4c015a91f3f9dc6d7a,301954933,1,2017-06-28 15:34:48,2017-06-28 14:33:38,10000.0,13000.0,30,2017-07-28 11:58:47,2017-07-31,2017-07-28
8a858f3a58b5b0fe0158b6ca51f756ce,301767466,1,2016-11-30 21:03:20,2016-11-30 20:03:09,10000.0,13000.0,30,2017-01-13 23:22:48,2016-12-30,2017-01-13
8a858fb959976ce001599c31ae157981,301882828,4,2017-04-27 22:33:51,2017-04-27 21:33:21,20000.0,23800.0,30,2017-05-30 05:46:16,2017-05-30,2017-05-30
8a858ff259d1429e0159d2d0194c4b8e,301848678,1,2017-03-28 18:36:01,2017-03-28 17:35:49,10000.0,11500.0,15,2017-04-07 12:21:41,2017-04-12,2017-04-07
8a85883353e2e4e40153f068a4634e02,301757656,9,2016-11-11 09:22:55,2016-11-11 08:22:44,25000.0,28750.0,30,2016-12-07 08:33:54,2016-12-13,2016-12-07
8a8588b75438f49901544510041e0951,301691209,1,2016-08-23 06:59:14,2016-08-23 05:59:03,10000.0,11500.0,15,2016-08-31 10:17:48,2016-09-07,2016-08-31
8a8588f5542eb0d401542f48f0381490,301813754,8,2017-02-09 19:11:35,2017-02-09 18:11:25,20000.0,21900.0,15,2017-02-22 10:50:39,2017-02-24,2017-02-22
8a85890754145ace01542184054739e2,301836779,9,2017-03-12 23:09:58,2017-03-12 22:08:50,30000.0,34400.0,30,2017-03-31 17:15:50,2017-04-11,2017-03-31
8a85896653e2e18b0153ea4c2b00049f,301708244,2,2016-09-07 12:13:00,2016-09-07 11:12:49,10000.0,13000.0,30,2016-10-07 15:59:43,2016-10-07,2016-10-07
8a8589c1545181f301547d2cfb142ff4,301910959,2,2017-05-17 09:56:27,2017-05-17 08:55:14,10000.0,11500.0,15,2017-05-26 11:51:49,2017-06-01,2017-05-26
8a858e185b4923b4015b49f7165a4acd,301905738,4,2017-05-14 00:13:04,2017-05-13 23:12:58,20000.0,22250.0,15,2017-05-30 21:32:59,2017-05-30,2017-05-30
8a858e225a28c713015a33e7c0bf5ed8,301862264,4,2017-04-10 11:55:21,2017-04-10 10:55:12,20000.0,23800.0,30,2017-04-18 12:23:01,2017-05-10,2017-04-18
8a858e3e5922ba4301593831652558a5,301917447,3,2017-05-24 17:19:36,2017-05-24 16:19:29,10000.0,13000.0,30,2017-06-26 19:54:49,2017-06-23,2017-06-26
8a858e4f58b9f0b40158c027a53e65a8,301803663,1,2017-01-27 08:16:42,2017-01-27 07:16:35,10000.0,11500.0,15,2017-02-04 17:47:22,2017-02-13,2017-02-04
8a858e585693982b0156b6329ee229d6,301899255,7,2017-05-10 13:10:33,2017-05-10 12:10:27,20000.0,24500.0,30,2017-06-08 22:06:28,2017-06-09,2017-06-08
8a858e675cc6685e015cc6eb279c3e84,301945625,1,2017-06-20 21:35:18,2017-06-20 20:34:10,10000.0,11500.0,15,2017-07-06 05:08:20,2017-07-06,2017-07-06
8a858e705668e167015685e1e07c19d4,301680182,1,2016-08-13 22:53:43,2016-08-13 21:53:34,10000.0,13000.0,30,2016-09-09 13:52:15,2016-09-12,2016-09-09
8a858e7855113fb70155136433e942c9,301713361,3,2016-09-13 02:39:21,2016-09-13 01:39:13,10000.0,13000.0,30,2016-10-13 15:29:14,2016-10-13,2016-10-13
8a858e7d5d328208015d3409dd464483,301978460,1,2017-07-14 22:49:19,2017-07-14 21:48:10,10000.0,13000.0,30,2017-07-28 12:26:30,2017-08-14,2017-07-28
8a858eb55cf45581015cf47853d613db,301962874,1,2017-07-04 10:43:23,2017-07-04 09:42:15,10000.0,13000.0,30,2017-07-21 14:34:14,2017-08-03,2017-07-21
8a858ec959f3d0320159f411f586198d,301936356,8,2017-06-12 17:59:39,2017-06-12 16:59:32,15000.0,18375.0,30,2017-07-30 13:59:52,2017-07-12,2017-07-30
8a858edb5a70bfe0015a7ef6715642d0,301827201,1,2017-02-27 11:57:50,2017-02-27 10:07:29,10000.0,13000.0,30,2017-03-29 12:42:58,2017-03-30,2017-03-29
8a858f7c5be8dc45015be8eaadb90c0e,301931051,2,2017-06-08 09:48:29,2017-06-08 08:48:21,10000.0,13000.0,30,2017-07-10 05:36:35,2017-07-10,2017-07-10
8a858fe45cd62cbf015cd63942a40385,301952987,1,2017-06-27 07:15:30,2017-06-27 06:15:23,10000.0,11500.0,15,2017-07-11 20:00:43,2017-07-12,2017-07-11
8a858ff35c5f4d1d015c6379bbcf0adc,301923906,1,2017-06-01 13:00:09,2017-06-01 12:00:00,10000.0,13000.0,30,2017-06-13 11:28:24,2017-07-03,2017-06-13
8a858e6d5b62e36f015b668ed4dc3aaa,301937563,2,2017-06-13 18:11:05,2017-06-13 17:10:58,10000.0,13000.0,30,2017-07-20 19:38:12,2017-07-13,2017-07-20
8a858f045bc9690c015bcabf87506275,301918609,2,2017-05-26 07:58:09,2017-05-26 06:58:03,10000.0,13000.0,30,2017-06-29 09:10:12,2017-06-28,2017-06-29
8a858f6b570f2de9015721e9fbb40ecf,301902557,3,2017-05-12 08:02:25,2017-05-12 07:02:18,10000.0,13000.0,30,2017-07-01 08:08:04,2017-06-12,2017-07-01
8a858e045b495c30015b4f8417aa61c4,301927937,2,2017-06-05 17:01:37,2017-06-05 16:01:30,10000.0,13000.0,30,2017-07-01 09:03:56,2017-07-05,2017-07-01
8a858e2c5cc64f70015cc942825e71ae,301945935,1,2017-06-21 07:21:43,2017-06-21 06:20:35,10000.0,13000.0,30,2017-07-17 21:52:36,2017-07-21,2017-07-17
8a858eae5bb5beb8015bb947fd2f4f4d,301884326,1,2017-04-29 12:07:45,2017-04-29 11:07:32,10000.0,13000.0,30,2017-05-23 06:52:51,2017-05-30,2017-05-23
8a85882953bc04f80153c205b75d7403,301615399,3,2016-04-29 08:28:19,2016-04-29 07:28:12,10000.0,11500.0,15,2016-05-17 00:04:55,2016-05-16,2016-05-16
8a8588dc536a14130153753dc8d32698,301890330,15,2017-05-04 21:30:09,2017-05-04 20:30:02,40000.0,44000.0,30,2017-06-05 09:47:45,2017-06-05,2017-06-05
8a8588fd53c244bc0153c8305ea7338f,301611372,1,2016-04-15 07:49:33,2016-04-15 06:49:25,10000.0,11500.0,15,2016-04-23 00:03:23,2016-05-02,2016-04-22
8a85895054a061920154a909b1a76c1d,301928599,11,2017-06-06 10:29:14,2017-06-06 09:29:01,30000.0,34500.0,30,2017-07-07 19:04:15,2017-07-06,2017-07-07
8a8589b953bc23f70153c90114817143,301615433,2,2016-04-29 10:15:11,2016-04-29 09:15:03,10000.0,13000.0,30,2016-05-30 00:02:36,2016-05-30,2016-05-29
8a858e02578f616401579484a4963345,301752899,2,2016-11-01 12:48:26,2016-11-01 11:48:17,10000.0,11500.0,15,2016-11-17 18:26:06,2016-11-16,2016-11-17
8a858e1556321b940156548b9ca970a6,301926831,11,2017-06-04 13:59:00,2017-06-04 12:58:46,40000.0,48000.0,60,2017-07-08 18:25:37,2017-07-04,2017-07-05
8a858e195b90e512015ba0eb4eed5ef5,301895972,2,2017-05-08 17:46:43,2017-05-08 16:46:37,10000.0,11500.0,15,2017-05-22 12:05:20,2017-05-23,2017-05-22
8a858e205af28299015af50a799745c5,301888144,3,2017-05-03 10:37:16,2017-05-03 09:37:09,10000.0,11500.0,15,2017-05-03 22:04:25,2017-05-18,2017-05-03
8a858e2e5bb57a37015bbe1b8d6d3830,301891367,1,2017-05-05 16:01:42,2017-05-05 15:01:35,10000.0,13000.0,30,2017-05-31 13:36:15,2017-06-05,2017-05-31
